Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-09-07,3.6494,3.8613,3.5949,3.8269,62913715
2000-09-08,3.8034,3.8034,3.6107,3.6339,56564515
2000-09-11,3.6221,3.7267,3.5873,3.6073,54210500
2000-09-12,3.5393,3.707,3.5184,3.5652,54388713
2000-09-13,3.5033,3.6724,3.5033,3.58,88522804
2000-09-14,3.6147,3.6801,3.507,3.5098,123403749
2000-09-15,3.5652,3.5909,3.3482,3.4084,114135117
2000-09-18,3.4097,3.7504,3.3987,3.7439,122820534
2000-09-19,3.6883,3.7347,3.6147,3.6999,78549401
2000-09-20,3.6664,3.7922,3.6147,3.7675,65784563
2000-09-21,3.6107,3.6801,3.4097,3.4986,147687590
2000-09-22,3.1061,3.237,3.0865,3.2207,210238411
2000-09-25,3.2568,3.4254,3.2135,3.3021,126007281
2000-09-26,3.2914,3.3797,3.1713,3.1751,84169569
2000-09-27,3.1948,3.2568,2.9778,3.0207,116375718
2000-09-28,3.044,3.3221,2.97,3.3021,283399316
2000-09-29,1.7408,1.7901,1.5668,1.5902,2147120161
2000-10-02,1.6482,1.6519,1.4505,1.4963,701504305
2000-10-03,1.5395,1.543,1.3704,1.3766,589638984
2000-10-04,1.3811,1.4666,1.3506,1.4579,424128545
2000-10-05,1.4505,1.5122,1.3579,1.3615,252565410
2000-10-06,1.4011,1.4161,1.2962,1.3704,177244880
2000-10-09,1.3964,1.4124,1.3037,1.343,172878673
2000-10-10,1.3343,1.3849,1.2654,1.2886,199939376
2000-10-11,1.2419,1.2962,1.18,1.2109,346709980
2000-10-12,1.2528,1.284,1.2034,1.2349,344581162
2000-10-13,1.2489,1.3651,1.2349,1.3615,360981539
2000-10-16,1.3766,1.4346,1.3195,1.3272,237281293
2000-10-17,1.3396,1.3544,1.216,1.2419,174080798
2000-10-18,1.1996,1.3,1.158,1.2419,241357492
2000-10-19,1.1825,1.222,1.1296,1.1691,435903508
2000-10-20,1.1764,1.258,1.1691,1.2034,228916662
2000-10-23,1.2501,1.2691,1.1996,1.258,159491706
2000-10-24,1.2776,1.2886,1.1603,1.1653,232732011
2000-10-25,1.1764,1.1852,1.1382,1.1417,192089940
2000-10-26,1.1603,1.1653,1.0802,1.1417,208835403
2000-10-27,1.1653,1.1852,1.1038,1.1456,215388756
2000-10-30,1.18,1.2309,1.158,1.1917,184920957
2000-10-31,1.2198,1.2489,1.1878,1.2074,256290038
2000-11-01,1.1996,1.2886,1.1996,1.2654,166456554
2000-11-02,1.3037,1.3849,1.3,1.3766,170890803
2000-11-03,1.4197,1.4197,1.3544,1.3729,149229931
2000-11-06,1.3849,1.3964,1.2886,1.3233,113835392
2000-11-07,1.3272,1.3457,1.284,1.3148,87359559
2000-11-08,1.3195,1.3233,1.222,1.2381,122112538
2000-11-09,1.2271,1.2654,1.1764,1.2467,137950731
2000-11-10,1.195,1.2271,1.1764,1.1764,122159530
2000-11-13,1.158,1.2349,1.1259,1.196,124926671
2000-11-14,1.2309,1.2654,1.2074,1.2489,118326338
2000-11-15,1.2373,1.2467,1.1878,1.2271,81687562
2000-11-16,1.2034,1.222,1.1653,1.1729,69251588
2000-11-17,1.1852,1.1878,1.1259,1.1417,129082250
2000-11-20,1.1469,1.2034,1.1259,1.1691,118055794
2000-11-21,1.1852,1.2034,1.158,1.1603,87356321
2000-11-22,1.1603,1.18,1.1344,1.1417,81159396
2000-11-24,1.164,1.2034,1.1603,1.1917,46558711
2000-11-27,1.2271,1.2309,1.1417,1.1542,74870130
2000-11-28,1.1542,1.1729,1.1075,1.1132,77859238
2000-11-29,1.1159,1.1296,1.0641,1.0839,142381722
2000-11-30,1.0308,1.0494,0.9951,1.0186,234220903
2000-12-01,1.0494,1.0802,1.037,1.053,111586675
2000-12-04,1.0618,1.0618,1.0147,1.0308,107482944
2000-12-05,1.0456,1.0765,1.0109,1.0494,177627229
2000-12-06,0.9024,0.9258,0.8643,0.8839,397639759
2000-12-07,0.8914,0.9182,0.8643,0.8839,118302036
